Input_gray_level,gamma_0_4,gamma_2_5
84,163.544454546595,15.8813692890319
85,164.3204738192,16.3582576270394
86,165.09103443352,16.8436363856993
87,165.856237597116,17.3375553631967
88,166.616181503176,17.8400640690143
89,167.370961453428,18.3512117288967
90,168.120669974707,18.8710472896731
91,168.865396929594,19.3996194239459
92,169.605229621471,19.9369765346487
93,170.340252894348,20.4831667594794
94,171.070549227764,21.0382379752136
95,171.796198827055,21.6022378019019
96,172.517279709275,22.1752136069564
97,173.233867784997,22.7572125091292
98,173.946036936265,23.348281382388
99,174.65385909088,23.9484668596922
100,175.357404293257,24.5578153366725
101,176.056740772024,25.176372975218
102,176.751935004562,25.804185706974
103,177.443051778628,26.441299236753
104,178.130154251244,27.0877590458628
105,178.813304004987,27.7436103953538
106,179.49256110182,28.408898329188
107,180.167984134588,29.0836676773336
108,180.839630276314,29.7679630587859
109,181.507555327397,30.4618288845184
110,182.171813760822,31.1653093603653
111,182.832458765488,31.8784484898383
112,183.489542287744,32.6012900768798
113,184.143115071223,33.3338777285531
114,184.793226695057,34.0762548576744
115,185.439925610558,34.8284646853849
116,186.083259176431,35.5905502436681
117,186.7232736926,36.3625543778115
118,187.3600144327,37.1445197488158
119,187.993525675311,37.9364888357526
120,188.623850733985,38.7385039380726
121,189.251031986128,39.5506071778645
122,189.875110900783,40.3728405020681
123,190.496128065369,41.2052456846408
124,191.114123211421,42.0478643286806
125,191.729135239385,42.9007378685052
126,192.34120224249,43.7639075716899
127,192.950361529763,44.6374145410646
128,193.556649648202,45.5212997166711
129,194.160102404162,46.4156038776826
130,194.760754883976,47.3203676442845
131,195.358641473847,48.2356314795203
132,195.953795879048,49.161435691101
133,196.54625114245,50.0978204331806
134,197.136039662409,51.0448257080976
135,197.723193210047,52.0024913680843
136,198.307742945941,52.9708571169441
137,198.889719436248,53.9499625116972
138,199.469152668293,54.9398469641973
139,200.046072065632,55.9405497427178
140,200.620506502631,56.9521099735098
141,201.192484318548,57.9745666423318
142,201.762033331173,59.0079585959528
143,202.329180850022,60.052324543628
144,202.893953689099,61.107703058549
145,203.456378179267,62.1741325792685
146,204.016480180213,63.2516514111006
147,204.574285092044,64.3402977274968
148,205.129817866519,65.4401095713983
149,205.683103017937,66.5511248565656
150,206.234164633677,67.6733813688856
151,206.783026384434,68.806916767657
152,207.329711534125,69.9517685868537
153,207.87424294951,71.1079742363682
154,208.416643109517,72.2755710032337
155,208.956934114291,73.4545960528269
156,209.495137693972,74.6450864300512
157,210.031275217223,75.8470790605003
158,210.565367699498,77.0606107516042
159,211.097435811079,78.2857181937558
160,211.62749988487,79.5224379614207
161,212.155579923983,80.7708065142291
162,212.681695609091,82.0308601980503
163,213.205866305584,83.3026352460518
164,213.728111070519,84.5861677797406
165,214.248448659374,85.8814938099892
166,214.766897532621,87.1886492380465
167,215.283475862108,88.5076698565323
168,215.79820153727,89.838591350418
169,216.311092171172,91.1814492979915
170,216.822165106384,92.5362791718089
171,217.331437420703,93.9031163396312
172,217.83892593271,95.2819960653478
173,218.344647207195,96.6729535098862
174,218.848617560423,98.0760237321088
175,219.350853065267,99.4912416896965
176,219.851369556213,100.91864224002
177,220.350182634219,102.358260140998
178,220.847307671463,103.810130051943
179,221.34275981596,105.274286534399
180,221.836553996065,106.750764052959
181,222.328704924854,108.23959697608
182,222.819227104404,109.740819576883
183,223.308134829957,111.254466033942
184,223.795442193984,112.780570432057
185,224.281163090144,114.319166763032
186,224.765311217148,115.870288926422
187,225.247900082525,117.433970730285
188,225.728943006298,119.010245891919
189,226.208453124568,120.599148038586
190,226.686443393012,122.200710708234
191,227.162926590297,123.8149673502
192,227.637915321408,125.441951325913
193,228.111422020904,127.08169590958
194,228.58345895609,128.734234288869
195,229.054038230114,130.399599565579
196,229.523171784996,132.077824756306
197,229.990871404583,133.768942793092
198,230.457148717431,135.472986524078
199,230.922015199629,137.189988714136
200,231.385482177553,138.919982045505
201,231.847560830551,140.662999118408
202,232.308262193579,142.419072451667
203,232.767597159769,144.188234483314
204,233.225576482936,145.970517571186
205,233.682210780041,147.765953993517
206,234.137510533584,149.574575949526
207,234.59148609395,151.396415559989
208,235.044147681712,153.231504867815
209,235.495505389863,155.079875838607
210,235.945569186019,156.941560361218
211,236.394348914562,158.816590248304
212,236.841854298739,160.704997236864
213,237.288094942717,162.606812988781
214,237.733080333594,164.522069091349
215,238.176819843364,166.450797057801
216,238.619322730842,168.393028327825
217,239.060598143548,170.34879426808
218,239.500655119549,172.318126172698
219,239.939502589269,174.301055263787
220,240.377149377251,176.297612691927
221,240.813604203888,178.307829536659
222,241.24887568712,180.331736806966
223,241.682972344092,182.369365441756
224,242.115902592776,184.420746310331
225,242.547674753568,186.485910212857
226,242.978297050842,188.564887880825
227,243.407777614482,190.65770997751
228,243.836124481376,192.764407098421
229,244.263345596883,194.88500977175
230,244.689448816268,197.019548458815
231,245.114441906115,199.168053554495
232,245.538332545704,201.330555387666
233,245.961128328363,203.507084221626
234,246.382836762798,205.697670254521
235,246.80346527439,207.902343619762
236,247.223021206471,210.121134386442
237,247.641511821575,212.354072559744
238,248.05894430266,214.601188081348
239,248.475325754315,216.86251082983
240,248.890663203939,219.138070621063
241,249.304963602891,221.427897208609
242,249.718233827631,223.732020284106
243,250.13048068083,226.050469477656
244,250.541710892464,228.383274358202
245,250.951931120883,230.730464433909
246,251.36114795386,233.092069152538
247,251.769367909631,235.46811790181
248,252.176597437896,237.858640009776
249,252.582842920822,240.26366474518
250,252.988110674014,242.683221317812
251,253.392406947473,245.11733887887
252,253.795737926535,247.566046521306
253,254.198109732795,250.029373280173
254,254.599528425012,252.507348132974
255,255,255
